,UserName,Contents,Label
1431,chri****,조국 패밀리 여러 사람 골로 가게 하네요.. 조민씨의 입학도 법과 원칙에 맞게 잘 처리해주세요,1
1315,sauk****,판사들은   다  정의로운 줄 알았는데 ㅡ  이런  판사도 있네 ㅡ   교과서에  이름 좀  올리겠네요 ㅡ  판사들의  흑역사,1
370,모악산,나씨 자식들 조사하라비리많은 자한당은 왜 조사를 뭉개버리냐이 개검들아느므 조전장관님은 억울하다청문회를 이렇게하는거 봤냐눈 생기고 첨봤다 이것들아,0
2708,날다,그래도 웃긴게 더블당에 저런 사람이 있다는게 놀랍다.공정을 아는 사람이넹이건 초등학교만 졸업해도 아는데다들 모르쇠 하기에 대한민국은 죽엇구나 햇는데저사람이 작은 불씨가 되넹.,0
2203,enter,조국 딸은 지겨우니 조국 위법사항 좀 올려봐라 없지?,0
2700,늙근혜,검찰 출신은 어쩔수 없구나우리는 너를 반대한다아군에 총질하는 넘을 이번에골라낼 기회를 준것에 감사 할 뿐도로 안철수에게 가든지 자유일본당에 가든지해라,0
11,kygo****,조국 법무장관 임명시 문재인 대통령 탄핵이라고국민들이 경고했는데 소 귀에경읽기라 더.민주당 과  아부형 꼴보견 심상정 정의당 아줌마 당신들이 진정 대한민국을 사랑합니까이젠 넘 늦었어요 조국법무장관 내년 총선까지만버터 주세요 당신은 가족사 잘 모르니까~~ㅋ,1
8,kdsl****,최순실이 보다 죄질이 월등하게 나쁘고 특히 최순실은 음지에서 활동했지만 조구기는 SNS등 각종 매체를 통해 정의의 사도인양 구업을 지어 다른사람들 눈에 피눈물이 나도록했다 하지만 정작 본인은 가족일가 전부가 법망을 피해다니며 상식과 도덕을 무시한채 자신들 일가의 안위만을 챙긴게 나쁜것이다 법적으로 문제가 있고 없고를 떠나 고위공직자 특히 법무장관으로써 기본적으로 갖추어야할 도덕성과 정의는 아예 시궁창에 내던진 추악한 파렴치한이다,1
815,news****,"서울대,고대,부산대ㅋㅋ 앞선 정권들이 생각나네 그땐 뭐하고 있었냐? 흙수저로 가슴 아픈건 이해하는데..지난 정권이 더 친재벌 정책이라 공정과 정의가 없지 않았니? 선동질 그만하고 집에 가서 치맥 한잔하고 쉬어..지금까지 늬들 선배들이 망친나라를 반성하면서..",1
188,kimj****,한번 물어봅시다조국  가족이  전혀 죄가 없는데 검찰이 죄인 취급합니까?아무 문제없는 사람에게 누명 쒸운겁니까?논문도 정상이고 인턴수료 증명서도  정상발급이고  당당히 대학가고 의전원도 간거 맞습니까?대답 주세요윤석렬 총장이 개혁반대했습니까?,1
190,bychoi,끝까지  사기끝까지 변명끝까지 오리발이넘의 기족은 도태체 뭘 먹고살까 ...이젠 하다하다아프다고 이젠  깜방  안가려고  법 꾸라지들 처럼 병원 가려고 애 쓴다.불 쌍 타....이 늠아,0
668,the,드디어 하나둘씩 밝혀지는군요이제 거짓선동한 자한당이 당할차례입니다.조국힘내세요,0
1218,sung****,가족에게 모든 비리책임을 넘기면 본인은 깨끗한것인가? 웃기는 논리다.  지금까지 수 많은 인사들이 가족 비리로 낙마했다.  박대통령에게 씌운 경제공동체는 조국가족에게 해당되는 거다.,1
